name,latitude,longitude,address
AWS Pop-up Loft,40.7228185,-74.0037852,"30 Thompson St, New York, NY 10013, USA"
Leslie-Lohman Museum of Gay and Lesbian Art,40.721669,-74.00309,"75 Grand St, New York, NY 10013, USA"
Museum Of Chinese In America,40.7194694,-73.9991776,"215 Centre St, New York, NY 10013"
NYU College of Global Public Health,40.7332403,-73.9928407,"41 E 11th St, New York, NY 10003"
Italian American Museum,40.719217,-73.997498,"155 Mulberry St, New York, NY 10013"
Vanderbilt Hall,40.7305445,-73.9994908,"40 Washington Square S, New York, NY 10012"
32 Washington Square W,40.731868,-73.999252,"32 Washington Square W, New York, NY 10011"
Brennan Center for Justice,40.7257183,-74.0043764,"161 Ave of the Americas #12, New York, NY 10013"
City-As-School,40.7291377,-74.0060445,"16 Clarkson St, New York, NY 10014"
New York Law School,40.717982,-74.006988,"185 W Broadway, New York, NY 10013"
Courant Institute of Mathematical Sciences Library,40.7286908,-73.9956597,"251 Mercer St, New York, NY 10012"
New York Public Library Mulberry Street Branch,40.7241646,-73.995708,"10 Jersey St, New York, NY 10012"
Performing Garage,40.7222945,-74.0029449,"33 Wooster St, New York, NY 10013"
Manhattan Youth,40.7163649,-74.0123498,"120 Warren St, New York, NY 10007"
JCP Jewish Community Project,40.7162611,-74.0080413,"146 Duane St # A, New York, NY 10013"
Charles B Wang Community Health Center Inc,40.718684,-74.001378,"268 Canal St # 1, New York, NY 10013"
apicha community health center,40.7185939,-74.0022145,"400 Broadway, New York, NY 10013"
The Elmer Holmes Bobst Library,40.7295147,-73.9971878,"70 Washington Square S, New York, NY 10012"
Downtown Community Television Center,40.7173916,-74.001162,"87 Lafayette St, New York, NY 10013"
Public Preparatory Network,40.7149093,-74.0060408,"291 Broadway #1202, New York, NY 10007"
Bar d’Eau,40.7252839,-74.0054981,"246 Spring St, New York, NY 10013"
Manhattan Youth,40.7163649,-74.0123498,"120 Warren St, New York, NY 10007"
NYU Athletics,40.7284683,-73.9930793,"404 Lafayette St, New York, NY 10003"
Imagine Swimming,40.7190657,-74.0108368,"40 Harrison St, New York, NY 10013"
Blue School,40.7077696,-74.0025728,"241 Water St, New York, NY 10038"
Léman Manhattan Preparatory School,40.7059001,-74.0141505,"1 Morris St, New York, NY 10004"
P.S. 340,40.739006,-73.9952936,"590 Ave of the Americas, New York, NY 10011"
New York University,40.7259081,-74.0043031,"161 Ave of the Americas, New York, NY 10013"
Learning Spring School,40.7362797,-73.982312,"247 E 20th St, New York, NY 10003"
Girls Prep Charter School,40.719869,-73.9773174,"442 E Houston St #312, New York, NY 10002"
Stuyvesant High School,40.7178149,-74.0138422,"345 Chambers St, New York, NY 10282"
NEST+m,40.7193905,-73.9795824,"111 Columbia St, New York, NY 10002"
Xavier High School,40.737925,-73.9945602,"30 W 16th St, New York, NY 10011"
The High School of Fashion Industries,40.7456296,-73.9963392,"225 W 24th St, New York, NY 10011"
IS 289 Hudson River Middle School,40.7168673,-74.0136225,"201 Warren St, New York, NY 10282"
Lower Manhattan Community Middle School,40.7053252,-74.0129456,"26 Broadway, New York, NY 10004"
P.S. 126 Jacob August Riis,40.7105151,-73.9968569,"80 Catherine St, New York, NY 10038"
Little Red School House & Elisabeth Irwin High School,40.7292298,-74.0019948,"272 Ave of the Americas, New York, NY 10014"
MS 131,40.716542,-73.993714,"100 Hester St, New York, NY 10002"
University Neighborhood Middle School,40.7134859,-73.9854379,"220 Henry St # 3, New York, NY 10002"
Tompkins Square Middle School,40.7238748,-73.9817288,"600 E 6th St, New York, NY 10009"
Grace Church School - JK-8 Campus,40.7318454,-73.9905305,"86 4th Ave, New York, NY 10003"
Simon Baruch Junior High School,40.7356502,-73.9813924,"330 E 21st St, New York, NY 10010"
Tribeca Health & Fitness,40.715109,-74.008101,"107 Chambers St, New York, NY 10007"
Church Street Boxing Gym,40.7132576,-74.0088459,"25 Park Pl, New York, NY 10007"
Blink Fitness Noho,40.727852,-73.993547,"16 E 4th St, New York, NY 10012"
Ludlow Fitness,40.719143,-73.988622,"100 Delancey St, New York, NY 10002"
Gotham Gym,40.7308373,-74.0092625,"600 Washington St, New York, NY 10014"
Steel Gym,40.7434041,-73.9946809,"146 W 23rd St, New York, NY 10011"
Gym Sportsbar,40.7426012,-74.0007417,"167 8th Ave, New York, NY 10011"
Mendez Boxing,40.7430182,-73.9868756,"23 E 26th St, New York, NY 10010"
Kingsway Gym,40.7450055,-73.9877633,"1 W 28th St, New York, NY 10010"
Chok Sabai Muay Thai,40.7462037,-73.9867573,"1 W 30th St #206, New York, NY 10001"
"Planet Fitness - Manhattan (Tribeca), NY",40.7208361,-74.0042402,"370 Canal St, New York, NY 10013"
Life Center,40.7156229,-74.0038318,"26 Federal Plaza, New York, NY 10278"
Equinox Tribeca,40.714149,-74.009997,"54 Murray Street, New York, NY 10007"
Equinox SoHo,40.724032,-73.997075,"69 Prince St, New York, NY 10012"
24 Hour Fitness,40.7249325,-73.9964438,"136 Crosby St, New York, NY 10012"
Lucille Roberts Fifth Avenue,40.7359229,-73.9942793,"80 5th Ave, New York, NY 10011"
David Barton Gym,40.7298391,-73.9924281,"4 Astor Pl, New York, NY 10003"
New York Health & Racquet Club,40.7292061,-73.991224,"62 Cooper Sq, New York, NY 10003"
New York Health & Racquet Club,40.7346865,-73.9929996,"24 E 13th St, New York, NY 10003"
CLAY Health Club + Spa,40.7368184,-73.9947675,"25 W 14th St, New York, NY 10011"
Planet Fitness,40.73525,-73.992596,"22 E 14th St, New York, NY 10003"
Synergy Fitness Clubs,40.7226604,-73.996088,"227 Mulberry St, New York, NY 10012"
Crunch - Tribeca,40.7171849,-74.0051108,"80 Leonard St, New York, NY 10013"
Senior Home Service,40.725007,-74.0005447,"115 Wooster St, New York, NY 10012"
VillageCare Rehabilitation and Nursing Center,40.728819,-74.004436,"214 W Houston St, New York, NY 10014"
Beth Abraham Health Services,40.7163447,-73.9886658,"375 Grand St, New York, NY 10002"
Elite Retirement Group,40.7050196,-74.0063444,"110 Wall St, New York, NY 10005"
Epic Retirement Services Consulting,40.7465415,-73.9855622,"303 5th Ave #703, New York, NY 10016"
Our Lady of Pompeii School,40.7307319,-74.0029473,"240 Bleecker St, New York, NY 10014"
25 Carmine St,40.7303171,-74.0029787,"25 Carmine St, New York, NY 10014"
Guidetti Funeral Home Inc,40.7295067,-74.001493,"199 Bleecker St, New York, NY 10012"
Provenzano Lanza Funeral Home Inc,40.7253044,-73.9903388,"43 2nd Ave, New York, NY 10003"
Peter Jarema Funeral Home,40.7263654,-73.9839324,"129 E 7th St, New York, NY 10009"
Redden's Funeral Home Inc,40.7404535,-74.003725,"325 W 14th St, New York, NY 10014"
Museum at Eldridge Street,40.7147403,-73.9935561,"12 Eldridge St, New York, NY 10002"
New Museum,40.7223376,-73.9928905,"235 Bowery, New York, NY 10002"
Tenement Museum,40.718807,-73.9901727,"103 Orchard St, New York, NY 10002"
Guggenheim Museum Press Office,40.7277508,-74.0078954,"345 Hudson St, New York, NY 10014"
Whitney Museum of American Art,40.7395877,-74.0088629,"99 Gansevoort St, New York, NY 10014"
Rubin Museum of Art,40.7400361,-73.9978786,"150 W 17th St, New York, NY 10011"
The Museum at FIT,40.7466,-73.994193,"227 W 27th St, New York, NY 10001"
Museum of Jewish Heritage,40.7059752,-74.0185789,"36 Battery Pl, New York, NY 10280"
National Museum of Mathematics,40.7434446,-73.9872277,"11 E 26th St, New York, NY 10010"
Sunshine Cinema,40.7230103,-73.9899714,"143 E Houston St, New York, NY 10002"
Metrograph,40.715078,-73.991181,"7 Ludlow St, New York, NY 10002"
Film Forum,40.7283222,-74.0045071,"209 W Houston St, New York, NY 10014"
Angelika Film Center & Café - New York,40.7259225,-73.9973541,"18 W Houston St, New York, NY 10012"
Anthology Film Archives,40.7246749,-73.9901317,"32 2nd Ave, New York, NY 10003"
Club Bijou 82 Cinema,40.7262706,-73.9896123,"82 E 4th St, New York, NY 10003"
AMC Village 7,40.7315203,-73.9887363,"66 Third Ave (11th St.), New York, NY 10003"
Village East Cinema,40.7309555,-73.9862117,"181-, 189 2nd Ave, New York, NY 10003"
Cinema Village,40.7339819,-73.9934241,"22 E 12th St, New York, NY 10003"
Haus ™ NYC,40.7208123,-74.0046814,"285 W Broadway, New York, NY 10013"
Paul's Cocktail Lounge,40.7195087,-74.0048258,"2 Avenue of the Americas, New York, NY 10013"
M1-5 Lounge,40.7191575,-74.0032369,"52 Walker St, New York, NY 10013"
Santos Party House,40.7176588,-74.0014871,"96 Lafayette St, New York, NY 10013"
Southside,40.7210846,-73.9976688,"2 Cleveland Pl, New York, NY 10013"
Greenhouse,40.7262765,-74.0055102,"150 Varick St, New York, NY 10013"
Pegu Club,40.726712,-73.9996939,"77 W Houston St, New York, NY 10012"
SOB's,40.7284377,-74.0050704,"204 Varick St, New York, NY 10014"
Blue Note,40.7308943,-74.000703,"131 W 3rd St, New York, NY 10012"
Prosopon School of Iconography (NYC Studio),40.7220198,-74.0020349,"41 Greene St, New York, NY 10013"
Brand New School,40.7248285,-74.0061791,"121 Varick St # 1100, New York, NY 10013"
ARROJO Cosmetology School,40.7229375,-74.0078209,"200 Hudson St, New York, NY 10013"
Cooke Center Academy,40.7276601,-74.0022478,"60 Macdougal St, New York, NY 10012"
New York City Fire Museum,40.7255619,-74.006935,"278 Spring St, New York, NY 10013"
Austin's Texas Star Event Center,40.7213796,-74.0056148,"53 Ave of the Americas, New York, NY 10013"
Gibney Dance: Agnes Varis Performing Arts Center at 280 Broadway,40.713993,-74.005612,"280 Broadway, New York, NY 10007"
Digital Sandbox Network Event Center,40.7052656,-74.0110445,"55 Broad St #4, New York, NY 10004"
Astor Center,40.7279664,-73.9928234,"399 Lafayette St, New York, NY 10003"
Kimmel Center for University Life,40.7299257,-73.9977687,"60 Washington Square S, New York, NY 10012"
"The Lesbian, Gay, Bisexual & Transgender Community Center",40.7380522,-74.0011016,"208 W 13th St, New York, NY 10011"
"New York Studio School of Drawing, Painting and Sculpture",40.732455,-73.997227,"8 W 8th St, New York, NY 10011"
Parsons The new school of design,40.7351595,-73.9946344,"66 5th Ave, New York, NY 10011"
The New School for Public Engagement,40.7355487,-73.997225,"72 Fifth Avenue, 3rd Floor, New York, NY 10011"
New York Public Library,40.7345836,-73.9991962,"425 Ave of the Americas, New York, NY 10011"
Cherry Lane Theatre,40.731278,-74.005318,"38 Commerce St, New York, NY 10014"
